C_1,C_2,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,w8,w6,w4,w10,w1,w0,nf8,nf6,nf4,nf10,nf1,nf0,l8,l6,l4,l10,l1,l0,gdc,idd,gbw,pm
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.389999999999999E-5,2.37E-5,1.86E-5,5.0999999999999995E-6,4.3599999999999996E-5,3.0,7.0,5.0,5.0,5.0,3.0,9.3E-7,9.1E-7,8.499999999999999E-7,9.200000000000001E-7,4.3E-7,7.3E-7,52.526,3.1192E-4,5.3713E7,62.117
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.46E-5,2.9199999999999998E-5,1.61E-5,4.9999999999999996E-6,7.79E-5,3.0,3.0,5.0,3.0,1.0,1.0,9.4E-7,8.8E-7,8.4E-7,9.399999999999999E-7,3.0E-7,6.499999999999999E-7,52.335,2.8521E-4,5.5554E7,62.423
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.259999999999999E-5,3.39E-5,6.5999999999999995E-6,4.6E-6,6.35E-5,1.0,3.0,3.0,3.0,1.0,1.0,9.399999999999999E-7,9.3E-7,9.000000000000001E-7,8.499999999999999E-7,3.1E-7,6.2E-7,51.968,3.3588E-4,6.6202E7,61.685
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.259999999999999E-5,3.39E-5,6.799999999999999E-6,4.2E-6,6.369999999999999E-5,1.0,3.0,3.0,3.0,1.0,1.0,9.399999999999999E-7,9.3E-7,9.3E-7,8.8E-7,3.1E-7,7.8E-7,53.987,3.0447E-4,5.519E7,60.858
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.62E-5,2.63E-5,4.7E-6,3.5999999999999994E-6,6.34E-5,3.0,3.0,1.0,3.0,1.0,1.0,8.9E-7,9.4E-7,9.4E-7,9.200000000000001E-7,3.0E-7,8.4E-7,55.222,2.6142E-4,4.5297E7,61.201
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.62E-5,2.7799999999999998E-5,5.299999999999999E-6,4.399999999999999E-6,6.5E-5,5.0,3.0,3.0,3.0,1.0,1.0,8.9E-7,9.200000000000001E-7,8.699999999999999E-7,9.000000000000001E-7,3.1E-7,6.3E-7,52.537,3.1186E-4,6.0675E7,61.307
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.039999999999999E-5,2.52E-5,4.2999999999999995E-6,3.3999999999999996E-6,6.19E-5,3.0,1.0,3.0,3.0,1.0,1.0,9.000000000000001E-7,9.200000000000001E-7,9.200000000000001E-7,9.3E-7,3.0E-7,8.6E-7,55.421,2.5966E-4,4.4774E7,60.673
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.259999999999999E-5,3.14E-5,6.4E-6,4.6E-6,6.35E-5,5.0,3.0,3.0,3.0,1.0,1.0,9.000000000000001E-7,9.399999999999999E-7,8.699999999999999E-7,9.1E-7,3.1E-7,5.8E-7,51.564,3.4267E-4,6.9095E7,61.474
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.929999999999999E-5,3.0E-5,1.52E-5,4.399999999999999E-6,6.72E-5,5.0,3.0,1.0,3.0,1.0,1.0,8.8E-7,9.000000000000001E-7,9.200000000000001E-7,9.4E-7,3.0E-7,6.2E-7,52.116,3.2886E-4,6.4323E7,61.029
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.039999999999999E-5,2.52E-5,1.0E-5,3.3999999999999996E-6,6.19E-5,3.0,3.0,5.0,3.0,1.0,1.0,9.000000000000001E-7,9.1E-7,9.200000000000001E-7,8.8E-7,3.0E-7,8.5E-7,55.022,2.6455E-4,4.5884E7,60.592
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.63E-5,2.7099999999999998E-5,1.13E-5,3.9E-6,6.62E-5,3.0,5.0,3.0,3.0,1.0,1.0,9.4E-7,9.200000000000001E-7,9.200000000000001E-7,8.8E-7,3.0E-7,7.7E-7,53.945,2.6754E-4,4.8845E7,61.873
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.329999999999999E-5,2.86E-5,4.9E-6,3.4999999999999995E-6,6.11E-5,3.0,3.0,1.0,3.0,1.0,1.0,9.1E-7,9.399999999999999E-7,9.3E-7,9.200000000000001E-7,3.0E-7,8.2E-7,54.954,2.7387E-4,4.9505E7,60.346
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.609999999999999E-5,2.8199999999999998E-5,1.4599999999999999E-5,3.9E-6,5.87E-5,3.0,1.0,5.0,3.0,1.0,1.0,9.200000000000001E-7,9.200000000000001E-7,9.399999999999999E-7,8.0E-7,3.0E-7,5.599999999999999E-7,51.056,3.2448E-4,6.6755E7,61.874
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.809999999999999E-5,2.8899999999999998E-5,8.0E-6,4.2E-6,6.85E-5,1.0,3.0,1.0,3.0,1.0,1.0,9.1E-7,9.3E-7,8.9E-7,9.399999999999999E-7,3.0E-7,7.1E-7,53.782,2.9673E-4,5.5342E7,60.807
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.35E-5,2.76E-5,9.100000000000001E-6,4.7E-6,7.47E-5,3.0,5.0,1.0,3.0,1.0,1.0,9.000000000000001E-7,9.3E-7,8.8E-7,9.200000000000001E-7,3.0E-7,6.3E-7,52.129,3.1231E-4,6.0876E7,60.963
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.439999999999999E-5,3.31E-5,7.2999999999999996E-6,4.2999999999999995E-6,6.419999999999999E-5,3.0,1.0,5.0,3.0,1.0,1.0,8.9E-7,9.4E-7,8.8E-7,8.8E-7,3.0E-7,6.699999999999999E-7,52.652,3.1466E-4,6.0706E7,62.493
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.73E-5,2.8199999999999998E-5,8.0E-6,4.8E-6,7.699999999999999E-5,3.0,3.0,3.0,1.0,1.0,1.0,9.3E-7,9.1E-7,8.699999999999999E-7,9.3E-7,3.0E-7,6.0E-7,51.96,3.0368E-4,6.1153E7,60.644
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.85E-5,2.98E-5,1.45E-5,3.9E-6,5.9E-5,3.0,1.0,3.0,3.0,1.0,1.0,9.3E-7,9.200000000000001E-7,9.399999999999999E-7,8.0E-7,3.0E-7,5.5E-7,51.001,3.308E-4,6.9398E7,60.967
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.13E-5,2.94E-5,8.6E-6,4.0E-6,5.76E-5,5.0,1.0,3.0,3.0,1.0,1.0,9.399999999999999E-7,9.200000000000001E-7,9.200000000000001E-7,9.399999999999999E-7,3.0E-7,6.6E-7,53.006,2.7764E-4,5.3206E7,65.219
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.939999999999999E-5,2.61E-5,7.1E-6,3.9E-6,7.039999999999999E-5,3.0,3.0,3.0,3.0,1.0,1.0,9.200000000000001E-7,9.1E-7,9.1E-7,9.399999999999999E-7,3.0E-7,8.9E-7,55.518,2.4982E-4,4.2202E7,61.19
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.9E-5,2.59E-5,4.2E-6,3.5999999999999994E-6,6.549999999999999E-5,3.0,3.0,1.0,3.0,1.0,1.0,9.000000000000001E-7,9.3E-7,9.4E-7,9.1E-7,3.0E-7,9.0E-7,55.823,2.4754E-4,4.1358E7,61.071
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.609999999999999E-5,2.63E-5,1.4E-5,3.7E-6,6.34E-5,3.0,3.0,1.0,3.0,1.0,1.0,8.9E-7,9.200000000000001E-7,9.1E-7,9.200000000000001E-7,3.0E-7,6.9E-7,53.499,2.8837E-4,5.5189E7,60.179
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.13E-5,2.44E-5,1.3000000000000001E-5,6.5999999999999995E-6,4.259999999999999E-5,5.0,5.0,7.0,5.0,3.0,1.0,9.399999999999999E-7,8.8E-7,8.2E-7,8.8E-7,5.0E-7,6.499999999999999E-7,51.431,3.4235E-4,6.0781E7,63.218
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.699999999999999E-5,2.3199999999999998E-5,7.3999999999999995E-6,7.2999999999999996E-6,5.679999999999999E-5,5.0,5.0,7.0,5.0,3.0,1.0,9.3E-7,9.1E-7,8.299999999999999E-7,8.699999999999999E-7,4.5E-7,7.0E-7,52.099,3.1253E-4,5.368E7,62.001
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.499999999999999E-5,2.26E-5,1.53E-5,6.5E-6,4.8899999999999996E-5,5.0,5.0,7.0,5.0,3.0,1.0,9.399999999999999E-7,9.1E-7,8.2E-7,9.000000000000001E-7,4.7E-7,6.800000000000001E-7,51.904,3.2582E-4,5.7101E7,61.665
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.419999999999999E-5,2.33E-5,1.41E-5,6.5999999999999995E-6,4.179999999999999E-5,5.0,5.0,7.0,5.0,3.0,1.0,9.399999999999999E-7,8.699999999999999E-7,8.2E-7,9.000000000000001E-7,5.1E-7,6.3E-7,51.309,3.4046E-4,6.0928E7,63.034
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.589999999999999E-5,2.27E-5,1.26E-5,6.4E-6,4.56E-5,5.0,5.0,7.0,3.0,3.0,1.0,9.399999999999999E-7,9.000000000000001E-7,8.6E-7,8.699999999999999E-7,4.8E-7,6.3E-7,51.317,3.3844E-4,6.0387E7,61.999
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.19E-5,2.41E-5,8.1E-6,6.5999999999999995E-6,4.5299999999999997E-5,5.0,7.0,7.0,5.0,3.0,1.0,9.200000000000001E-7,8.499999999999999E-7,8.4E-7,8.8E-7,4.8E-7,6.6E-7,51.619,3.405E-4,5.9745E7,62.916
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.85E-5,2.3899999999999998E-5,1.68E-5,6.899999999999999E-6,4.6599999999999994E-5,5.0,5.0,7.0,5.0,3.0,1.0,9.399999999999999E-7,8.699999999999999E-7,8.0E-7,9.000000000000001E-7,4.9E-7,6.499999999999999E-7,51.336,3.4754E-4,6.172E7,62.289
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.56E-5,2.37E-5,1.32E-5,5.999999999999999E-6,3.81E-5,5.0,5.0,7.0,5.0,3.0,1.0,9.3E-7,8.699999999999999E-7,8.2E-7,8.6E-7,5.0E-7,6.499999999999999E-7,51.596,3.3155E-4,5.8831E7,64.385
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.41E-5,2.29E-5,8.2E-6,6.199999999999999E-6,4.42E-5,5.0,3.0,7.0,3.0,3.0,1.0,9.399999999999999E-7,8.9E-7,8.499999999999999E-7,8.499999999999999E-7,4.6E-7,6.2E-7,51.263,3.3237E-4,5.9739E7,63.564
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.369999999999999E-5,2.3199999999999998E-5,1.08E-5,6.5E-6,4.73E-5,5.0,5.0,7.0,5.0,3.0,1.0,9.399999999999999E-7,9.000000000000001E-7,8.4E-7,8.6E-7,4.9E-7,6.6E-7,51.608,3.4474E-4,6.1014E7,60.576
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.419999999999999E-5,2.3199999999999998E-5,1.34E-5,6.5999999999999995E-6,4.17E-5,5.0,5.0,7.0,5.0,3.0,1.0,9.399999999999999E-7,8.699999999999999E-7,8.2E-7,9.000000000000001E-7,5.1E-7,7.0E-7,52.133,3.1405E-4,5.3936E7,64.332
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.199999999999999E-5,2.27E-5,1.14E-5,6.4E-6,4.06E-5,5.0,3.0,7.0,5.0,3.0,1.0,9.3E-7,8.499999999999999E-7,8.0E-7,8.499999999999999E-7,5.0E-7,6.6E-7,51.649,3.2569E-4,5.7141E7,64.42
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.0899999999999996E-5,2.53E-5,1.57E-5,4.9E-6,7.07E-5,3.0,7.0,5.0,5.0,5.0,3.0,9.1E-7,8.299999999999999E-7,7.0E-7,8.9E-7,3.0E-7,7.4E-7,52.815,3.0783E-4,5.5823E7,61.495
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.58E-5,2.52E-5,1.84E-5,5.7E-6,7.68E-5,3.0,7.0,5.0,5.0,7.0,3.0,9.3E-7,8.499999999999999E-7,7.3E-7,8.6E-7,3.0E-7,5.900000000000001E-7,50.805,3.337E-4,6.5312E7,60.648
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.57E-5,2.52E-5,1.5399999999999998E-5,5.199999999999999E-6,7.07E-5,3.0,7.0,5.0,5.0,5.0,3.0,9.3E-7,8.6E-7,7.3E-7,8.699999999999999E-7,3.0E-7,5.599999999999999E-7,50.56,3.4418E-4,6.9074E7,61.079
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.56E-5,2.61E-5,1.11E-5,5.0999999999999995E-6,7.07E-5,3.0,7.0,5.0,5.0,5.0,1.0,9.3E-7,8.4E-7,7.5E-7,8.4E-7,3.0E-7,8.0E-7,53.476,2.7731E-4,4.8936E7,63.34
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.019999999999999E-5,2.67E-5,1.27E-5,4.6E-6,6.56E-5,3.0,8.0,5.0,5.0,3.0,1.0,8.699999999999999E-7,8.4E-7,7.1E-7,8.2E-7,3.0E-7,7.4E-7,52.702,3.263E-4,5.9429E7,62.247
